Date,State,Positive,Negative,Pending,Death,Total
20200318,AK,6,406,,,412
20200318,AL,46,28,,0,74
20200318,AR,33,236,50,,319
20200318,AZ,28,148,102,0,278
20200318,CA,611,"7,981",,13,"8,592"
20200318,CO,183,"1,617",,2,"1,800"
20200318,CT,68,125,,,193
20200318,DC,31,138,1,,170
20200318,DE,25,36,,,61
20200318,FL,314,"1,225",954,7,"2,493"
20200318,GA,197,"1,311",,1,"1,508"
20200318,HI,14,93,12,,119
20200318,IA,29,83,,,112
20200318,ID,9,459,,,468
20200318,IL,289,"1,763",,1,"2,052"
20200318,IN,39,154,,2,193
20200318,KS,16,417,,1,433
20200318,KY,26,354,,1,380
20200318,LA,240,335,,6,575
20200318,MA,256,"2,015",,,"2,271"
20200318,MD,85,94,,,179
20200318,ME,43,"1,670",,,"1,713"
20200318,MI,80,272,,,352
20200318,MN,77,"2,685",,,"2,762"
20200318,MO,13,253,,0,266
20200318,MS,34,479,,,513
20200318,MT,10,499,0,,509
20200318,NC,63,"1,787",,0,"1,850"
20200318,ND,6,268,,0,274
20200318,NE,24,206,,,230
20200318,NH,26,513,208,,747
20200318,NJ,427,190,21,5,638
20200318,NM,28,"2,326",,,"2,354"
20200318,NV,55,168,,1,223
20200318,NY,"2,382","12,215",,12,"14,597"
20200318,OH,88,140,,,228
20200318,OK,29,378,110,,517
20200318,OR,75,"1,118",361,3,"1,554"
20200318,PA,133,"1,187",,,"1,320"
20200318,RI,33,540,334,,907
20200318,SC,60,583,,1,643
20200318,SD,11,551,350,1,913
20200318,TN,98,349,,,447
20200318,TX,83,"1,824",,2,"1,907"
20200318,UT,63,131,,0,194
20200318,VA,77,"1,201",,1,"1,278"
20200318,VT,19,592,,,611
20200318,WA,"1,012","13,117",,52,"14,129"
20200318,WI,106,"1,577",,,"1,683"
20200318,WV,1,122,14,0,137
20200318,WY,15,178,,,193
20200318,PR,5,31,21,,57
20200318,VI,2,,,0,2
20200318,GU,8,57,,,65
20200318,MP,0,,,0,0
20200318,AS,0,,,0,0
20200317,AK,3,334,,,337
20200317,AL,36,28,,0,64
20200317,AR,22,197,41,,260
