"","date","state","positive","negative","pending","hospitalized","death","total","hash","dateChecked","totalTestResults","fips","deathIncrease","hospitalizedIncrease","negativeIncrease","positiveIncrease","totalTestResultsIncrease","asdate"
"1",20200331,"AK",119,3594,NA,7,3,3713,"5339d73f78797a2174fe32109c081c80915f8378","2020-03-31T20:00:00Z",3713,2,0,0,54,5,59,2020-03-31
"2",20200331,"AL",981,6298,NA,NA,13,7279,"06fc31f03af09c0f09f4c5bc18fac9daa63e94f8","2020-03-31T20:00:00Z",7279,1,7,0,604,122,726,2020-03-31
"3",20200331,"AR",523,5959,NA,64,8,6482,"243a161852f47abece7769b9463983017474b74d","2020-03-31T20:00:00Z",6482,5,1,2,697,50,747,2020-03-31
"4",20200331,"AS",NA,3,2,NA,0,5,"dc2e3c2b6fd1ea6755a2e78e4f2484dfcf3cfb30","2020-03-31T20:00:00Z",3,60,0,0,3,0,3,2020-03-31
"5",20200331,"AZ",1289,18082,NA,78,24,19371,"0d0331010da8f39cefc1947cb1fee78458d32af3","2020-03-31T20:00:00Z",19371,4,4,0,2480,132,2612,2020-03-31
"6",20200331,"CA",7482,21772,57400,1617,153,86654,"68a259dd2cbbd26931ebeb5f0243609024c0979d","2020-03-31T20:00:00Z",29254,6,20,185,1223,1035,2258,2020-03-31
"7",20200331,"CO",2627,12737,NA,414,51,15364,"853a5132333bdb1943306123f01fed38e8e95c7c","2020-03-31T20:00:00Z",15364,8,0,0,0,0,0,2020-03-31
"8",20200331,"CT",3128,13029,NA,608,69,16157,"b03c05d25461ad2bcd60dbb33aee680204209b9a","2020-03-31T20:00:00Z",16157,9,33,91,1000,557,1557,2020-03-31
"9",20200331,"DC",495,3262,2,NA,9,3759,"fd5ac4282e7f72ef4fab55046ef356e16608570c","2020-03-31T20:00:00Z",3757,11,0,0,580,94,674,2020-03-31
"10",20200331,"DE",406,3696,NA,64,10,4102,"31dfb44664aca4a20fe25d51e81ff3d81e5c1079","2020-03-31T20:00:00Z",4102,10,4,19,1480,142,1622,2020-03-31
"11",20200331,"FL",6338,54285,1163,823,77,61786,"0f7c0baa5eee9ee425e05e880cd0f8047c7c5aac","2020-03-31T20:00:00Z",60623,12,14,171,6060,865,6925,2020-03-31
"12",20200331,"GA",3929,12252,NA,833,111,16181,"0d2216b66de410d25cb87e7471bdece18c2fc7d7","2020-03-31T20:00:00Z",16181,13,24,126,2337,1120,3457,2020-03-31
"13",20200331,"GU",69,371,NA,19,2,440,"c56c25570b78ecf9ae95d5c66b1c500520d741d3","2020-03-31T20:00:00Z",440,66,1,0,19,11,30,2020-03-31
"14",20200331,"HI",204,8471,11,12,0,8686,"6c66c5a65b90e64dd14fbc3681ffb5278239653d","2020-03-31T20:00:00Z",8675,15,0,0,646,29,675,2020-03-31
