state,positive,positiveScore,negativeScore,negativeRegularScore,commercialScore,grade,score,negative,pending,hospitalized,death,total,lastUpdateEt,checkTimeEt,dateModified,dateChecked,notes,totalTestResults
AK,59,1,1,1,1,A,4,1801,,3,1,1860,3/25 21:00,3/26 16:13,2020-03-26T01:00:00Z,2020-03-26T20:13:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead.",1860
AL,506,1,1,0,0,C,2,3593,,,1,4099,3/26 00:00,3/26 17:15,2020-03-26T04:00:00Z,2020-03-26T21:15:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead.",4099
AR,335,1,1,1,1,A,4,1504,0,41,3,1839,3/26 00:00,3/26 15:04,2020-03-26T04:00:00Z,2020-03-26T19:04:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead.",1839
AZ,577,1,1,1,0,B,3,347,33,66,8,957,3/26 00:00,3/26 15:06,2020-03-26T04:00:00Z,2020-03-26T19:06:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead.",924
CA,3006,1,1,1,0,B,3,17380,57400,,65,77786,3/25 17:00,3/26 16:57,2020-03-25T21:00:00Z,2020-03-26T20:57:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead.",20386
CO,1086,1,1,1,1,A,4,6978,,148,19,8064,3/25 18:00,3/26 16:19,2020-03-25T22:00:00Z,2020-03-26T20:19:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead.",8064
CT,1012,1,1,1,1,A,4,5625,,125,21,6637,3/26 16:00,3/26 16:20,2020-03-26T20:00:00Z,2020-03-26T20:20:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead.",6637
DC,231,1,1,1,1,A,4,1626,1,,3,1858,3/25 00:00,3/26 16:57,2020-03-25T04:00:00Z,2020-03-26T20:57:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead.",1857
DE,130,1,1,0,0,C,2,36,,13,1,166,3/26 00:00,3/26 16:46,2020-03-26T04:00:00Z,2020-03-26T20:46:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead.",166
FL,2355,1,1,1,1,A,4,23741,1443,406,28,27539,3/26 11:00,3/26 16:45,2020-03-26T15:00:00Z,2020-03-26T20:45:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead.",26096
GA,1525,1,1,1,1,A,4,7401,,473,48,8926,3/26 12:00,3/26 16:39,2020-03-26T16:00:00Z,2020-03-26T20:39:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead.",8926
HI,95,1,1,1,1,A,4,4357,,5,,4452,3/25 18:00,3/26 17:15,2020-03-25T22:00:00Z,2020-03-26T21:15:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead.",4452
IA,179,1,1,0,0,C,2,2578,,46,1,2757,3/26 00:00,3/26 16:56,2020-03-26T04:00:00Z,2020-03-26T20:56:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead.",2757
ID,123,1,1,1,1,A,4,2065,,,0,2188,3/25 19:00,3/26 16:23,2020-03-25T23:00:00Z,2020-03-26T20:23:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead.",2188
IL,2538,1,1,1,1,A,4,14093,,,26,16631,3/26 00:00,3/26 16:03,2020-03-26T04:00:00Z,2020-03-26T20:03:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead.",16631
IN,645,1,1,1,0,B,3,4006,,,17,4651,3/25 12:59,3/26 16:10,2020-03-25T16:59:00Z,2020-03-26T20:10:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead.",4651
KS,168,1,1,1,0,B,3,2869,,,3,3037,3/26 12:00,3/26 16:14,2020-03-26T16:00:00Z,2020-03-26T20:14:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead.",3037
KY,198,1,1,1,1,A,4,3102,,,4,3300,3/25 17:00,3/26 16:59,2020-03-25T21:00:00Z,2020-03-26T20:59:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead.",3300
LA,2305,1,1,1,1,A,4,15724,,676,83,18029,3/26 15:00,3/26 14:48,2020-03-26T19:00:00Z,2020-03-26T18:48:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead.",18029
MA,2417,1,1,0,1,B,3,21204,,219,25,23621,3/26 12:30,3/26 16:10,2020-03-26T16:30:00Z,2020-03-26T20:10:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead.",23621
MD,580,1,0,0,0,D,1,94,,132,4,674,3/26 10:00,3/26 16:24,2020-03-26T14:00:00Z,2020-03-26T20:24:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead.",674
ME,155,1,1,1,1,A,4,3394,,,,3549,3/26 11:00,3/26 17:13,2020-03-26T15:00:00Z,2020-03-26T21:13:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead.",3549
MI,2856,1,0,0,0,D,1,6550,,,60,9406,3/26 11:00,3/26 16:31,2020-03-26T15:00:00Z,2020-03-26T20:31:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead.",9406
MN,346,1,1,1,1,A,4,12604,,41,2,12950,3/26 13:15,3/26 16:35,2020-03-26T17:15:00Z,2020-03-26T20:35:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead.",12950
MO,502,1,1,0,0,C,2,369,,,8,871,3/26 15:00,3/26 15:45,2020-03-26T19:00:00Z,2020-03-26T19:45:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead.",871
MS,485,1,1,1,0,B,3,2291,,150,6,2776,3/26 00:00,3/26 15:40,2020-03-26T04:00:00Z,2020-03-26T19:40:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead.",2776
MT,71,1,1,0,0,C,2,2128,,1,,2199,3/26 10:00,3/26 16:29,2020-03-26T14:00:00Z,2020-03-26T20:29:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead.",2199
NC,636,1,1,1,1,A,4,12274,,29,2,12910,3/26 12:36,3/26 17:00,2020-03-26T16:36:00Z,2020-03-26T21:00:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead.",12910
ND,52,1,1,1,0,B,3,2039,,10,0,2091,3/26 11:37,3/26 16:43,2020-03-26T15:37:00Z,2020-03-26T20:43:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead.",2091
NE,73,1,1,1,1,A,4,1584,,,0,1657,3/26 14:00,3/26 16:49,2020-03-26T18:00:00Z,2020-03-26T20:49:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead.",1657
NH,137,1,1,1,0,B,3,3001,712,19,1,3850,3/25 09:00,3/26 17:03,2020-03-25T13:00:00Z,2020-03-26T21:03:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead.",3138
NJ,6876,1,1,1,0,B,3,13661,,,81,20537,3/25 14:00,3/26 17:08,2020-03-25T18:00:00Z,2020-03-26T21:08:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead.",20537
NM,112,1,1,1,1,A,4,7681,,,1,7793,3/25 00:00,3/26 16:07,2020-03-25T04:00:00Z,2020-03-26T20:07:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead.",7793
NV,420,1,1,1,1,A,4,4697,,,10,5117,3/26 11:00,3/26 16:54,2020-03-26T15:00:00Z,2020-03-26T20:54:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead.",5117
NY,37258,1,1,0,1,B,3,84846,,6844,385,122104,3/26 16:59,3/26 15:47,2020-03-26T20:59:00Z,2020-03-26T19:47:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead.",122104
OH,867,1,1,1,0,B,3,16449,,223,15,17316,3/26 14:00,3/26 16:54,2020-03-26T18:00:00Z,2020-03-26T20:54:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead.",17316
OK,248,1,1,1,1,A,4,958,,86,7,1206,3/26 08:00,3/26 17:07,2020-03-26T12:00:00Z,2020-03-26T21:07:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead.",1206
OR,327,1,1,1,1,A,4,6953,,90,11,7280,3/26 16:31,3/26 15:56,2020-03-26T20:31:00Z,2020-03-26T19:56:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead.",7280
PA,1687,1,1,1,1,A,4,16441,,,16,18128,3/26 12:00,3/26 15:46,2020-03-26T16:00:00Z,2020-03-26T19:46:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead.",18128
RI,165,1,1,1,0,B,3,1339,181,23,,1685,3/25 00:00,3/26 16:10,2020-03-25T04:00:00Z,2020-03-26T20:10:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead.",1504
SC,456,1,1,1,0,B,3,2307,,109,9,2763,3/26 11:00,3/26 17:06,2020-03-26T15:00:00Z,2020-03-26T21:06:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead.",2763
SD,46,1,1,1,1,A,4,1973,125,,1,2144,3/25 13:00,3/26 15:39,2020-03-25T17:00:00Z,2020-03-26T19:39:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead.",2019
TN,957,1,1,1,1,A,4,13952,,76,3,14909,3/26 15:00,3/26 15:20,2020-03-26T19:00:00Z,2020-03-26T19:20:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead.",14909
TX,1396,1,1,1,1,A,4,20028,,,18,21424,3/26 13:00,3/26 15:18,2020-03-26T17:00:00Z,2020-03-26T19:18:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead.",21424
UT,402,1,1,1,1,A,4,7308,,,1,7710,3/26 15:00,3/26 15:17,2020-03-26T19:00:00Z,2020-03-26T19:17:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead.",7710
VA,460,1,1,1,1,A,4,5729,,65,13,6189,3/26 00:00,3/26 15:16,2020-03-26T04:00:00Z,2020-03-26T19:16:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead.",6189
VT,158,1,1,1,1,A,4,1850,,,9,2008,3/26 13:00,3/26 15:16,2020-03-26T17:00:00Z,2020-03-26T19:16:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead.",2008
WA,2580,1,1,1,1,A,4,31712,,,132,34292,3/25 21:20,3/26 17:03,2020-03-26T01:20:00Z,2020-03-26T21:03:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead.",34292
WI,707,1,1,1,1,A,4,11583,,,8,12290,3/26 16:00,3/26 15:45,2020-03-26T20:00:00Z,2020-03-26T19:45:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead.",12290
WV,51,1,1,1,0,B,3,1031,19,1,0,1101,3/25 00:00,3/26 17:12,2020-03-25T04:00:00Z,2020-03-26T21:12:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead.",1082
WY,53,1,1,1,1,A,4,1052,,,,1105,3/26 00:00,3/26 15:14,2020-03-26T04:00:00Z,2020-03-26T19:14:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead.",1105
PR,64,1,1,1,1,A,4,377,335,,2,776,3/26 07:00,3/26 15:46,2020-03-26T11:00:00Z,2020-03-26T19:46:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead.",441
AS,0,,,,,,,,,,0,0,3/25 00:00,3/26 16:17,2020-03-25T04:00:00Z,2020-03-26T20:17:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead.",0
GU,45,,,,,,,263,,11,1,308,3/26 06:30,3/26 16:33,2020-03-26T10:30:00Z,2020-03-26T20:33:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead.",308
MP,0,,,,,,,,,,0,0,3/26 01:30,3/26 15:22,2020-03-26T05:30:00Z,2020-03-26T19:22:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead.",0
VI,17,,,,,,,55,2,,0,74,3/25 20:30,3/26 14:54,2020-03-26T00:30:00Z,2020-03-26T18:54:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead.",72
