state,abbr,est_pop
California,CA,"39,512,223"
Texas,TX,"28,995,881"
Florida,FL,"21,477,737"
New York,NY,"19,453,561"
Pennsylvania,PA,"12,801,989"
Illinois,IL,"12,671,821"
Ohio,OH,"11,689,100"
Georgia,GA,"10,617,423"
North Carolina,NC,"10,488,084"
Michigan,MI,"9,986,857"
New Jersey,NJ,"8,882,190"
Virginia,VA,"8,535,519"
Washington,WA,"7,614,893"
Arizona,AZ,"7,278,717"
Massachusetts,MA,"6,949,503"
Tennessee,TN,"6,833,174"
Indiana,IN,"6,732,219"
Missouri,MO,"6,137,428"
Maryland,MD,"6,045,680"
Wisconsin,WI,"5,822,434"
Colorado,CO,"5,758,736"
Minnesota,MN,"5,639,632"
South Carolina,SC,"5,148,714"
Alabama,AL,"4,903,185"
Louisiana,LA,"4,648,794"
Kentucky,KY,"4,467,673"
Oregon,OR,"4,217,737"
Oklahoma,OK,"3,956,971"
Connecticut,CT,"3,565,287"
Utah,UT,"3,205,958"
Puerto Rico,PR,"3,193,694"
Iowa,IA,"3,155,070"
Nevada,NV,"3,080,156"
Arkansas,AK,"3,017,825"
Mississippi,MS,"2,976,149"
Kansas,KS,"2,913,314"
New Mexico,NM,"2,096,829"
Nebraska,NE,"1,934,408"
West Virginia,WV,"1,787,145"
Idaho,ID,"1,792,065"
Hawaii,HI,"1,415,872"
New Hampshire,NH,"1,359,711"
Maine,ME,"1,344,212"
Montana,MT,"1,068,778"
Rhode Island,RI,"1,059,361"
Delaware,DE,"973,764"
South Dakota,SD,"884,659"
North Dakota,ND,"762,062"
Alaska,AK,"731,545"
District of Columbia,DC,"705,749"
Vermont,VT,"623,989"
Wyoming,WY,"578,759"
Guam,GU,"165,718"
U.S. Virgin Islands,VI,"104,914"
American Samoa,AS,"55,641"
Northern Mariana Islands,MP,"55,194"
