state,positive,positiveScore,negativeScore,negativeRegularScore,commercialScore,grade,score,negative,pending,hospitalized,death,total,lastUpdateEt,checkTimeEt,totalTestResults,fips,dateModified,dateChecked,notes,hash
AK,102,1,1,1,1,A,4,3232,,6,2,3334,3/28 19:00,3/29 00:14,3334,02,2020-03-28T23:00:00Z,2020-03-29T04:14:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead.",5f17b3fb1079dde2d93be3dba2ee242b05c53643
AL,760,1,1,0,1,B,3,4184,,,4,4944,3/29 00:00,3/29 10:10,4944,01,2020-03-29T04:00:00Z,2020-03-29T14:10:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead.",63303bd6417204ea4ef2d174c52a0d940c8a8953
AR,409,1,1,1,1,A,4,2989,0,48,5,3398,3/28 17:33,3/29 08:27,3398,05,2020-03-28T21:33:00Z,2020-03-29T12:27:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead.",1d5bb0306bfca3dd2680cf0ea9aec2b300a5f2ad
AZ,933,1,1,0,1,B,3,9492,21,78,15,10446,3/28 00:00,3/29 00:51,10425,04,2020-03-28T04:00:00Z,2020-03-29T04:51:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead.",29224154ee3cba700ef5bc9cc1c7dcac1bf019cc
CA,4643,1,1,1,0,B,3,20549,64400,1034,101,89592,3/27 17:00,3/29 09:35,25192,06,2020-03-27T21:00:00Z,2020-03-29T13:35:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead.",12df6fbdaf63bc109a65ca99d02e389457e4fc8f
CO,2061,1,1,1,1,A,4,11215,,274,44,13276,3/28 18:00,3/28 23:50,13276,08,2020-03-28T22:00:00Z,2020-03-29T03:50:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead.",c68516bf78f119489437dd8db88bf182dca468a2
CT,1524,1,1,1,1,A,4,8676,,205,33,10200,3/28 12:00,3/28 23:50,10200,09,2020-03-28T16:00:00Z,2020-03-29T03:50:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead.",2b78b5b35b9153feaea79ff8d710061ffe060c85
DC,342,1,1,1,1,A,4,2469,1,,5,2812,3/28 19:45,3/29 00:23,2811,11,2020-03-28T23:45:00Z,2020-03-29T04:23:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead.",1dd7a65caa0ecd1d015bb999104b116bfa767a54
DE,214,1,1,0,0,C,2,36,,31,5,250,3/29 00:00,3/29 10:04,250,10,2020-03-29T04:00:00Z,2020-03-29T14:04:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead.",726989960bbd5dbcc11e71f4509d1248efe7a0e6
FL,4038,1,1,1,1,A,4,37327,,567,56,41365,3/28 19:00,3/29 00:23,41365,12,2020-03-28T23:00:00Z,2020-03-29T04:23:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead.",4fa88768a69e8836a868c80fc3efcaed8b7fba11
