"Epaxial_bead_cra_X","Epaxial_bead_cra_Y","Epaxial_bead_cra_Z","Epaxial_bead_mid1_dor_X","Epaxial_bead_mid1_dor_Y","Epaxial_bead_mid1_dor_Z","Epaxial_bead_mid1_ven_X","Epaxial_bead_mid1_ven_Y","Epaxial_bead_mid1_ven_Z","Epaxial_bead_mid2_dor_X","Epaxial_bead_mid2_dor_Y","Epaxial_bead_mid2_dor_Z","Epaxial_bead_mid2_ven_X","Epaxial_bead_mid2_ven_Y","Epaxial_bead_mid2_ven_Z","Epaxial_bead_mid3_dor_X","Epaxial_bead_mid3_dor_Y","Epaxial_bead_mid3_dor_Z","Epaxial_bead_mid3_ven_X","Epaxial_bead_mid3_ven_Y","Epaxial_bead_mid3_ven_Z","HyoidL_bead_cau_X","HyoidL_bead_cau_Y","HyoidL_bead_cau_Z","HyoidL_bead_cra_X","HyoidL_bead_cra_Y","HyoidL_bead_cra_Z","Hypaxial_bead_cau_X","Hypaxial_bead_cau_Y","Hypaxial_bead_cau_Z","Hypaxial_bead_cra_X","Hypaxial_bead_cra_Y","Hypaxial_bead_cra_Z","Hypaxial_bead_mid1_X","Hypaxial_bead_mid1_Y","Hypaxial_bead_mid1_Z","Hypaxial_bead_mid2_X","Hypaxial_bead_mid2_Y","Hypaxial_bead_mid2_Z","LowerJawL_bead_cau_X","LowerJawL_bead_cau_Y","LowerJawL_bead_cau_Z","LowerJawL_bead_cra_X","LowerJawL_bead_cra_Y","LowerJawL_bead_cra_Z","LowerJawL_bead_mid_X","LowerJawL_bead_mid_Y","LowerJawL_bead_mid_Z","Neurocranium_bead_cau_e1_X","Neurocranium_bead_cau_e1_Y","Neurocranium_bead_cau_e1_Z","Neurocranium_bead_cau_e2_X","Neurocranium_bead_cau_e2_Y","Neurocranium_bead_cau_e2_Z","Neurocranium_bead_cau_X","Neurocranium_bead_cau_Y","Neurocranium_bead_cau_Z","Neurocranium_bead_cra_L_X","Neurocranium_bead_cra_L_Y","Neurocranium_bead_cra_L_Z","Neurocranium_bead_cra_R_X","Neurocranium_bead_cra_R_Y","Neurocranium_bead_cra_R_Z","Neurocranium_bead_mid_X","Neurocranium_bead_mid_Y","Neurocranium_bead_mid_Z","OperculumL_bead_cau_dor_X","OperculumL_bead_cau_dor_Y","OperculumL_bead_cau_dor_Z","OperculumL_bead_cra_dor_X","OperculumL_bead_cra_dor_Y","OperculumL_bead_cra_dor_Z","OperculumL_bead_ven_X","OperculumL_bead_ven_Y","OperculumL_bead_ven_Z","PectoralGirdleL_bead_cau_X","PectoralGirdleL_bead_cau_Y","PectoralGirdleL_bead_cau_Z","PectoralGirdleL_bead_cra_X","PectoralGirdleL_bead_cra_Y","PectoralGirdleL_bead_cra_Z","PectoralGirdleL_bead_mid_X","PectoralGirdleL_bead_mid_Y","PectoralGirdleL_bead_mid_Z","PostTemporalL_bead_cau_dor_X","PostTemporalL_bead_cau_dor_Y","PostTemporalL_bead_cau_dor_Z","PostTemporalL_bead_cra_dor_X","PostTemporalL_bead_cra_dor_Y","PostTemporalL_bead_cra_dor_Z","PostTemporalL_bead_ven_X","PostTemporalL_bead_ven_Y","PostTemporalL_bead_ven_Z","Prey_bead_X","Prey_bead_Y","Prey_bead_Z","Sternohyoid_bead_cau_X","Sternohyoid_bead_cau_Y","Sternohyoid_bead_cau_Z","Sternohyoid_bead_cra_X","Sternohyoid_bead_cra_Y","Sternohyoid_bead_cra_Z","SuspensoriumL_bead_dor_X","SuspensoriumL_bead_dor_Y","SuspensoriumL_bead_dor_Z","SuspensoriumL_bead_mid_X","SuspensoriumL_bead_mid_Y","SuspensoriumL_bead_mid_Z","SuspensoriumL_bead_ven_X","SuspensoriumL_bead_ven_Y","SuspensoriumL_bead_ven_Z","Urohyal_bead_X","Urohyal_bead_Y","Urohyal_bead_Z","calibration","frame","individual","time","trial","Neurocranium_R11","Neurocranium_R12","Neurocranium_R13","Neurocranium_01","Neurocranium_R21","Neurocranium_R22","Neurocranium_R23","Neurocranium_02","Neurocranium_R31","Neurocranium_R32","Neurocranium_R33","Neurocranium_03","Neurocranium_TX","Neurocranium_TY","Neurocranium_TZ","Neurocranium_1","SuspensoriumL_R11","SuspensoriumL_R12","SuspensoriumL_R13","SuspensoriumL_01","SuspensoriumL_R21","SuspensoriumL_R22","SuspensoriumL_R23","SuspensoriumL_02","SuspensoriumL_R31","SuspensoriumL_R32","SuspensoriumL_R33","SuspensoriumL_03","SuspensoriumL_TX","SuspensoriumL_TY","SuspensoriumL_TZ","SuspensoriumL_1","LowerJawL_R11","LowerJawL_R12","LowerJawL_R13","LowerJawL_01","LowerJawL_R21","LowerJawL_R22","LowerJawL_R23","LowerJawL_02","LowerJawL_R31","LowerJawL_R32","LowerJawL_R33","LowerJawL_03","LowerJawL_TX","LowerJawL_TY","LowerJawL_TZ","LowerJawL_1","OperculumL_R11","OperculumL_R12","OperculumL_R13","OperculumL_01","OperculumL_R21","OperculumL_R22","OperculumL_R23","OperculumL_02","OperculumL_R31","OperculumL_R32","OperculumL_R33","OperculumL_03","OperculumL_TX","OperculumL_TY","OperculumL_TZ","OperculumL_1"
-14.65550202,94.74291,116.37045,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,40.88301,101.2957,82.68362,45.1198,94.69558,79.42277,NaN,NaN,NaN,-6.810298684,96.92536,71.15369,NaN,NaN,NaN,NaN,NaN,NaN,48.31895,106.76437,80.10594,67.34149,97.08729,83.21264,57.8939,103.09848,86.12407,-1.563586463,83.42327,120.58592,-9.625135,88.42884,121.31152,0.7278111,87.53418,120.16766,49.10005,95.25734,107.29891,57.36568,66.74614,103.59497,34.81728,83.56417,113.63861,12.91703,111.70599,96.59867,18.02128,111.32908,98.74158,22.60289,114.48066,85.57743,-12.25839213,111.02888,86.23166,18.2052,108.61877,77.36917,4.291673,112.70856,85.12914,3.894638,108.67701,104.28282,5.555722,108.80167,103.41241,0.4980828,109.60643,98.75609,154.77697,66.67126,28.833,40.28086,90.28868,78.13808,49.52674,86.94007,83.04947,22.21327,110.24717,100.43138,30.02232,111.89132,89.16609,35.67993,112.75892,82.51685,49.07928,83.20485,81.7972,"Nov17 After 0945",3,"Cat 01",0.006666667,"Nov 17 2016 Cat 01 Trial 09",0.0314014435306184,0.979309562739053,-0.199916806877357,0,-0.0159818755317118,0.200481828501573,0.979567055435796,0,0.999379071723379,-0.0275647740515102,0.0219466223553179,0,122.79035151707,128.545243519707,140.58886006459,1,-0.04194175620593,0.969131093816412,-0.242952283554957,0,-0.05845565267998,0.240369472231159,0.96891973531819,0,0.997408555084686,0.0548401296271262,0.0465696728178337,0,120.223205257187,138.435836002829,142.004476990809,1,0.0545666999110676,0.98273355660802,-0.176797149234276,0,-0.0499845958776173,0.179527362974229,0.98248229811965,0,0.997258249118936,-0.044773682672641,0.0589177554236652,0,120.917613930384,126.59963754529,144.277629374896,1,-0.0086201711615922,0.977837859358618,-0.20918607375755,0,-0.0311400808298675,0.208829882672716,0.977456073421618,0,0.999477857691231,0.0149399099011255,0.0286498006466378,0,121.946109229185,133.391220155469,141.200139572316,1
-14.6212883,94.75025,116.38426,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,40.93724,101.29679,82.7232,45.16618,94.70324,79.46029,NaN,NaN,NaN,-6.758846446,96.97665,71.17589,NaN,NaN,NaN,NaN,NaN,NaN,48.37191,106.77099,80.14881,67.38909,97.06764,83.29072,57.94295,103.08212,86.16232,-1.52894532,83.41256,120.5829,-9.585896,88.43071,121.31641,0.7638362,87.52143,120.17819,49.14194,95.23245,107.32891,57.38455,66.71973,103.58971,34.84616,83.54621,113.65055,12.97185,111.71599,96.63516,18.07957,111.33414,98.78186,22.66323,114.47354,85.62684,-12.20114506,111.06128,86.26577,18.26444,108.65082,77.40847,4.349804,112.73598,85.16889,3.951346,108.68757,104.3189,5.643798,108.8051,103.43968,0.5533394,109.62514,98.78976,154.77036,66.67782,28.83727,40.32503,90.31051,78.1615,49.56834,86.93959,83.06788,22.26913,110.25102,100.47397,30.08029,111.89513,89.20652,35.73665,112.75246,82.56333,49.09597,83.20141,81.81415,"Nov17 After 0945",4,"Cat 01",0.01,"Nov 17 2016 Cat 01 Trial 09",0.0321471934454962,0.979558631106943,-0.198573528390542,0,-0.016088596044277,0.199157628853733,0.979835392270907,0,0.999353648630404,-0.028304188616714,0.0221620819384723,0,122.848429510635,128.422697014024,140.683100265319,1,-0.034343201367513,0.970765465901998,-0.237560423328272,0,-0.055594769548995,0.235476911131309,0.970288537458241,0,0.997862598817404,0.046529931615415,0.045882451386562,0,120.542110299125,137.417725932944,142.104551052146,1,0.0559493523233419,0.982703250006785,-0.176533261457156,0,-0.0515098356568962,0.179415747115703,0.982423903677793,0,0.997104010023627,-0.0458727818321079,0.0606570777550787,0,120.88675974005,126.510613094671,144.445236888124,1,-0.00745550880735753,0.977765555343829,-0.209568447461912,0,-0.0313596845423098,0.209242573576637,0.977360790899877,0,0.999480357772893,0.0138587223869474,0.029102409521744,0,122.00488874602,133.298519631161,141.281850941527,1
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,40.99099,101.297,82.76272,45.21218,94.7098,79.49772,NaN,NaN,NaN,-6.707673868,97.02744,71.198,NaN,NaN,NaN,NaN,NaN,NaN,48.42481,106.77595,80.19177,67.43631,97.04715,83.35668,57.99175,103.06502,86.20116,-1.495454155,83.40247,120.58077,-9.547799,88.43273,121.32169,0.7988332,87.5096,120.18898,49.1831,95.20674,107.35943,57.40285,66.69243,103.58607,34.87444,83.52764,113.66317,13.02642,111.72564,96.67147,18.13718,111.33877,98.822,22.72329,114.47136,85.6757,-12.14424754,111.09362,86.29941,18.32341,108.68184,77.44761,4.407652,112.76286,85.20832,4.007137,108.69783,104.35463,5.723926,108.8085,103.4685,0.6080016,109.6433,98.82316,154.7642,66.68392,28.84117,40.36886,90.33079,78.18562,49.60942,86.93791,83.08715,22.32447,110.25428,100.51643,30.13791,111.8986,89.24703,35.7933,112.74626,82.60985,49.11349,83.19726,81.83212,"Nov17 After 0945",5,"Cat 01",0.013333333,"Nov 17 2016 Cat 01 Trial 09",0.0329049251405469,0.979796505830929,-0.197271571857168,0,-0.0162014449162331,0.197875423451025,0.980093276161358,0,0.999327163187372,-0.0290538113778604,0.0223851951141478,0,122.905825469281,128.299940227433,140.776779484447,1,-0.0271509793596563,0.972227603001556,-0.232457119232042,0,-0.0529602510802081,0.230817241421688,0.971554740026522,0,0.998227447090759,0.0386896500931474,0.0452225038043782,0,120.836821322177,136.453987142322,142.199186005881,1,0.0571969681362645,0.982756182006326,-0.175837406612951,0,-0.0526924712821608,0.178851860751267,0.982464002076405,0,0.996971419001667,-0.0469286547235086,0.062013636078236,0,120.875853856191,126.397000232756,144.597155967244,1,-0.00642502250213801,0.977760881928795,-0.209624370853373,0,-0.0316030420844709,0.209325440892415,0.977335207350172,0,0.999479848129443,0.0129041685133663,0.0295552976321416,0,122.060530895932,133.205538612026,141.369746412264,1
-14.55433929,94.76555,116.41139,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,41.04425,101.29637,82.8021,45.25778,94.7153,79.53508,NaN,NaN,NaN,-6.656793777,97.07776,71.2201,NaN,NaN,NaN,NaN,NaN,NaN,48.47764,106.77907,80.23481,67.48315,97.02579,83.41086,58.0403,103.04688,86.24062,-1.463133513,83.3929,120.57957,-9.510863,88.43486,121.32743,0.8327848,87.49868,120.20005,49.22353,95.18015,107.39049,57.42055,66.66411,103.58401,34.90212,83.50817,113.67647,13.08074,111.73498,96.70755,18.19409,111.34299,98.86205,22.78305,114.47522,85.72399,-12.08771812,111.12588,86.33263,18.38207,108.71183,77.48668,4.465196,112.7892,85.24747,4.061983,108.70779,104.38999,5.796297,108.81167,103.49891,0.6620482,109.6608,98.8563,154.75854,66.68957,28.84467,40.41235,90.34957,78.21047,49.64995,86.935,83.10727,22.37928,110.25697,100.55887,30.19516,111.90174,89.28761,35.84987,112.74034,82.65654,49.1319,83.1925,81.85135,"Nov17 After 0945",6,"Cat 01",0.016666667,"Nov 17 2016 Cat 01 Trial 09",0.0336765073579948,0.980023792602819,-0.196008313049614,0,-0.01631944026172,0.196632622531852,0.980341413807348,0,0.999299539038076,-0.0298157288798162,0.0226153396979616,0,122.962626956976,128.17659879526,140.869985590139,1,-0.0204195912521088,0.973521468592441,-0.227681774594967,0,-0.0505651672365907,0.226432215653756,0.97271353212365,0,0.998511994998274,0.0313751797404779,0.0446026225778293,0,121.106972933186,135.552081519671,142.289041199235,1,0.0583048922368996,0.982895347312328,-0.174691945358167,0,-0.0535606202009395,0.17781749716626,0.982604802382533,0,0.996860973007236,-0.0479340581768814,0.0630121144047798,0,120.883126000225,126.2580366644,144.73554747943,1,-0.00555886800691834,0.977838227413163,-0.209288078962864,0,-0.0318764731648768,0.209011675423221,0.977393477569473,0,0.999476357621855,0.0121045671654199,0.0300081657001435,0,122.112435732182,133.112614713542,141.46509137862,1
-14.52162935,94.77348,116.42471,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,41.09702,101.2949,82.84138,45.30295,94.71976,79.5724,NaN,NaN,NaN,-6.606219001,97.12762,71.24214,NaN,NaN,NaN,NaN,NaN,NaN,48.5304,106.78045,80.27795,67.5296,97.00356,83.45238,58.08857,103.0277,86.2807,-1.432003932,83.38386,120.57935,-9.475107,88.43714,121.33372,0.8656738,87.48868,120.21142,49.2632,95.15262,107.4221,57.43768,66.63475,103.58346,34.92917,83.48775,113.69044,13.13482,111.74403,96.74335,18.25029,111.34681,98.90204,22.84251,114.48421,85.77172,-12.03157538,111.15804,86.36547,18.44042,108.74081,77.52573,4.522415,112.815,85.2864,4.115854,108.71747,104.42497,5.863195,108.81459,103.53103,0.7154578,109.67765,98.88917,154.75337,66.69474,28.84777,40.45548,90.36681,78.23607,49.68994,86.93086,83.12821,22.43355,110.25911,100.6014,30.25201,111.90457,89.32826,35.90636,112.73472,82.70337,49.15127,83.18724,81.87186,"Nov17 After 0945",7,"Cat 01",0.02,"Nov 17 2016 Cat 01 Trial 09",0.0344628710033033,0.980240932395952,-0.194781993463783,0,-0.0164412240059936,0.195427468480725,0.980580333637383,0,0.999270732422097,-0.0305911591596493,0.0228513523861196,0,123.018898367161,128.0524993371,140.962707140901,1,-0.0141623095471236,0.974660204045663,-0.223241832186437,0,-0.0484024973499518,0.222334230704253,0.973768292823008,0,0.99872750399625,0.0245962701809358,0.0440272217452688,0,121.353844621454,134.713708444506,142.374660187609,1,0.0592703190194105,0.983127300984306,-0.173054151474764,0,-0.0540946079353401,0.17626741635221,0.982854806838141,0,0.996775201675714,-0.0488928214754475,0.0636293118971985,0,120.909887394472,126.090841710019,144.859833015219,1,-0.00483298887827832,0.977985583999454,-0.208616489539415,0,-0.0321781534543189,0.208358793373942,0.977522981655176,0,0.999470464125265,0.0114372511121012,0.0304627744669788,0,122.160981581767,133.019681512981,141.566922752604,1
-14.48944603,94.7816,116.43787,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,41.14927,101.29262,82.88063,45.34767,94.72324,79.60971,NaN,NaN,NaN,-6.555962366,97.17707,71.26402,NaN,NaN,NaN,NaN,NaN,NaN,48.58307,106.78034,80.32116,67.57564,96.98043,83.4674,58.13655,103.00773,86.32139,-1.402085956,83.37545,120.58014,-9.440549,88.43961,121.34056,0.8974828,87.47946,120.22312,49.30211,95.12411,107.45425,57.45422,66.60446,103.58443,34.9556,83.46663,113.7051,13.18864,111.75275,96.77892,18.30575,111.35025,98.94203,22.90166,114.49809,85.81886,-11.97583788,111.19009,86.39799,18.49844,108.7688,77.56473,4.579289,112.84023,85.32512,4.168722,108.72684,104.45957,5.923956,108.8174,103.56526,0.7682092,109.69393,98.9218,154.74874,66.69943,28.85045,40.49823,90.38246,78.26235,49.72938,86.92546,83.15,22.48728,110.26072,100.64407,30.30846,111.90711,89.36899,35.96276,112.72938,82.75021,49.17166,83.18149,81.89349,"Nov17 After 0945",8,"Cat 01",0.023333333,"Nov 17 2016 Cat 01 Trial 09",0.0352625503120471,0.980447858723384,-0.193593772808482,0,-0.0165667191046496,0.194261104843679,0.980809954559507,0,0.999240759959079,-0.0313786467146838,0.0230929462554494,0,123.074572213628,127.927876012581,141.05487800702,1,-0.00832408439940704,0.975668216930281,-0.219094135227298,0,-0.0464388622929757,0.218488146975268,0.974733995354757,0,0.998886450848066,0.0182882504193238,0.0434902081939661,0,121.5808433426,133.931210975632,142.456623317854,1,0.0599884791257578,0.983546377730946,-0.170405120886999,0,-0.0539106388357552,0.17365570252799,0.983329720897234,0,0.996742206085656,-0.0498018055078788,0.0634409550342378,0,120.979744735422,125.863887371143,144.953284549312,1,-0.00425078766086643,0.978198134594707,-0.207630297114118,0,-0.0325092235618772,0.207387244563379,0.97771861042726,0,0.999462396084848,0.0109059739521059,0.0309189027051393,0,122.206085707844,132.927976628539,141.674802386984,1
-14.45780198,94.7899,116.45086,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,41.20101,101.28954,82.91986,45.39192,94.72573,79.64704,NaN,NaN,NaN,-6.506036699,97.22612,71.28573,NaN,NaN,NaN,NaN,NaN,NaN,48.63566,106.77881,80.36446,67.62128,96.95642,83.48211,58.18423,102.98705,86.36264,-1.373400124,83.3677,120.58203,-9.407209,88.44226,121.34789,0.9281946,87.47101,120.23517,49.34023,95.09465,107.48696,57.47017,66.57331,103.58697,34.9814,83.4449,113.72046,13.24221,111.7611,96.81433,18.36044,111.3533,98.98202,22.96048,114.5137,85.86543,-11.92052419,111.22207,86.43017,18.5561,108.79586,77.60356,4.635799,112.8649,85.36368,4.220558,108.73592,104.49377,5.974345,108.82015,103.60144,0.8202811,109.70967,98.95419,154.74464,66.70362,28.8527,40.5406,90.39651,78.28931,49.76824,86.91877,83.17265,22.54046,110.26181,100.68677,30.3645,111.90941,89.40978,36.01905,112.72432,82.79704,49.19307,83.17515,81.91619,"Nov17 After 0945",9,"Cat 01",0.026666667,"Nov 17 2016 Cat 01 Trial 09",0.0360741489381317,0.980644383640694,-0.192445443210153,0,-0.0166963846790854,0.193135325649299,0.981030059032336,0,0.999209630916876,-0.0321766813127433,0.0233404083653363,0,123.129560205255,127.802964844637,141.146467269492,1,-0.00283051341311583,0.976570434968718,-0.21517939896474,0,-0.0446426977724511,0.214842326201474,0.975627902639083,0,0.998999007872088,0.0123677167394706,0.0429886246958014,0,121.791243639707,133.194340851653,142.536053564035,1,0.060696239199263,0.983950881751015,-0.167799370822618,0,-0.0536973762217712,0.171084659526746,0.983791965336938,0,0.996710869978834,-0.0507020865055652,0.063219776099088,0,121.051073752707,125.638750285199,145.043212367234,1,-0.0037292783158773,0.97843447995231,-0.206523753896969,0,-0.0328534282341029,0.206293823090459,0.977938398268516,0,0.999453222885649,0.0104320177902182,0.0313755998877342,0,122.249416452329,132.837080694686,141.784801576944,1
-14.4267099,94.79836,116.46368,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,41.25221,101.28564,82.95907,45.43571,94.7272,79.68435,NaN,NaN,NaN,-6.456454826,97.27489,71.30722,NaN,NaN,NaN,NaN,NaN,NaN,48.68815,106.77593,80.40783,67.6665,96.93155,83.50754,58.2316,102.96574,86.40445,-1.345966979,83.36068,120.58497,-9.375105,88.44509,121.35562,0.9577918,87.46358,120.24757,49.37755,95.06438,107.52023,57.48554,66.54134,103.59113,35.00656,83.42264,113.73651,13.29553,111.76907,96.84965,18.41435,111.35598,99.02195,23.01896,114.51957,85.9114,-11.86565287,111.25397,86.46192,18.61341,108.82198,77.64214,4.691923,112.88902,85.40212,4.271332,108.74471,104.52754,6.012046,108.82291,103.63891,0.8716522,109.72488,98.98637,154.74109,66.70734,28.85449,40.58258,90.409,78.31691,49.80653,86.91078,83.19618,22.59309,110.26237,100.72934,30.4201,111.91147,89.45065,36.07522,112.71953,82.84383,49.21544,83.16811,81.93992,"Nov17 After 0945",10,"Cat 01",0.03,"Nov 17 2016 Cat 01 Trial 09",0.0368975398303367,0.980830286220907,-0.191338760282081,0,-0.0168313891685285,0.192051942524901,0.981240416876043,0,0.99917729952853,-0.0329848602274885,0.0235949804544693,0,123.183803052237,127.677953348241,141.237502502093,1,0.0023612098722863,0.977383205600737,-0.211462748723189,0,-0.0429968533114952,0.211367006436447,0.97646057738928,0,0.999072417441924,0.00678660443246662,0.0425234841826068,0,121.987003893136,132.497192964561,142.613865222442,1,0.061489653062147,0.984261503431821,-0.165675331381675,0,-0.053748119829046,0.169013869077315,0.984147068112464,0,0.996659501625876,-0.0516101242165453,0.0632948094018259,0,121.106054206809,125.441259015415,145.141786952172,1,-0.00295220220687035,0.978547019761887,-0.20600246264853,0,-0.033151773084332,0.205794353327499,0.97803355979224,0,0.999445968746432,0.00971669973014926,0.0318330222074412,0,122.297124214578,132.744263079709,141.883089372087,1
-14.39618244,94.80698,116.47635,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,41.30286,101.28085,82.99821,45.47908,94.72759,79.72158,NaN,NaN,NaN,-6.407247328,97.32338,71.3286,NaN,NaN,NaN,NaN,NaN,NaN,48.74052,106.77152,80.45128,67.7113,96.90587,83.54084,58.27863,102.94364,86.44682,-1.319822399,83.35429,120.58883,-9.344275,88.44804,121.36369,0.9862329,87.4574,120.26028,49.41405,95.03338,107.55406,57.50032,66.50847,103.59696,35.03106,83.39967,113.75324,13.34857,111.77667,96.88491,18.46742,111.35827,99.06174,23.07707,114.52292,85.9568,-11.81126201,111.28582,86.49316,18.67041,108.84706,77.68043,4.747628,112.9126,85.44035,4.320954,108.75319,104.56093,6.040423,108.82558,103.67663,0.9222823,109.73944,99.01834,154.73803,66.71061,28.85582,40.62414,90.41995,78.34517,49.84422,86.90155,83.2206,22.64515,110.26236,100.77163,30.47524,111.91323,89.49159,36.13128,112.715,82.89074,49.23866,83.16029,81.96501,"Nov17 After 0945",11,"Cat 01",0.033333333,"Nov 17 2016 Cat 01 Trial 09",0.0377337168685554,0.981005585995116,-0.190274030959727,0,-0.0169733081413015,0.191011362693435,0.98144106605172,0,0.999143670060529,-0.0338038395508017,0.0238584787779846,0,123.237252902596,127.552771609705,141.32812270119,1,0.00718496766717858,0.978104035881326,-0.207992478787778,0,-0.0415305379042096,0.208110262128137,0.977223277055119,0,0.999111400525992,0.00161672187483061,0.0421164522410285,0,122.166434340524,131.848939111881,142.691193751183,1,0.0623305242349621,0.984505898011887,-0.163899489103544,0,-0.0539985410536237,0.167304806167689,0.984425344755645,0,0.99659373031977,-0.0525094145177771,0.0635900784267901,0,121.148348667619,125.264365709433,145.24715212839,1,-0.00211052076947384,0.978630301246975,-0.20561682611921,0,-0.0334365612085157,0.205433250133623,0.978099778199589,0,0.999438613460892,0.00893941948854342,0.0322884608270053,0,122.345588738385,132.650108781519,141.9782337219,1
-14.36618719,94.81577,116.48885,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,41.353,101.27513,83.03729,45.52211,94.72685,79.75866,NaN,NaN,NaN,-6.358395402,97.37145,71.34992,NaN,NaN,NaN,NaN,NaN,NaN,48.7928,106.76545,80.49482,67.75567,96.8794,83.58348,58.32534,102.92069,86.48981,-1.294929713,83.34848,120.59348,-9.314687,88.45111,121.37203,1.0135417,87.45269,120.27324,49.44973,95.00173,107.58841,57.51453,66.47463,103.60434,35.05494,83.3759,113.77062,13.40133,111.78388,96.92005,18.51968,111.36011,99.10131,23.13485,114.52808,86.00165,-11.7573221,111.31763,86.52382,18.72714,108.87099,77.71835,4.802951,112.93565,85.4783,4.369452,108.76135,104.59397,6.063773,108.8281,103.71597,0.9722075,109.75333,99.05008,154.73542,66.71345,28.85673,40.66532,90.42939,78.3741,49.88132,86.89111,83.24591,22.69663,110.26174,100.81382,30.52993,111.91464,89.53261,36.18725,112.71073,82.9378,49.26263,83.1516,81.99152,"Nov17 After 0945",12,"Cat 01",0.036666667,"Nov 17 2016 Cat 01 Trial 09",0.0385844104694752,0.981170856387034,-0.189248497604232,0,-0.0171222872825002,0.190010902520694,0.981632662558397,0,0.999108638010371,-0.0346353504386359,0.0241313479328093,0,123.289991551846,127.427196475591,141.418433228754,1,0.0115721199235118,0.978731571101047,-0.204818450757134,0,-0.0402603522364561,0.205122120553547,0.977907981201407,0,0.999122209781302,-0.00307040546061429,0.041777775575479,0,122.328623152162,131.258841320651,142.768189890968,1,0.0632238909116406,0.984676974702632,-0.162523829355775,0,-0.054491105470918,0.166012671102754,0.984616936913989,0,0.99651064171064,-0.0533952106822409,0.0641521038910563,0,121.175261254312,125.111589114099,145.361402435731,1,-0.00131800549451542,0.978741590002632,-0.205093059025987,0,-0.0337295487067133,0.204933027523164,0.978194649225925,0,0.999430127825631,0.00820696224621124,0.0327424092749964,0,122.392599219826,132.554661400628,142.075610808455,1
