"PectoralGirdleL_bead_cau_X","PectoralGirdleL_bead_cau_Y","PectoralGirdleL_bead_cau_Z","PectoralGirdleL_bead_cra_X","PectoralGirdleL_bead_cra_Y","PectoralGirdleL_bead_cra_Z","PectoralGirdleL_bead_mid_X","PectoralGirdleL_bead_mid_Y","PectoralGirdleL_bead_mid_Z","Epaxial_bead_cra_X","Epaxial_bead_cra_Y","Epaxial_bead_cra_Z","Epaxial_bead_mid1_dor_X","Epaxial_bead_mid1_dor_Y","Epaxial_bead_mid1_dor_Z","Epaxial_bead_mid1_ven_X","Epaxial_bead_mid1_ven_Y","Epaxial_bead_mid1_ven_Z","Epaxial_bead_mid2_dor_X","Epaxial_bead_mid2_dor_Y","Epaxial_bead_mid2_dor_Z","Epaxial_bead_mid2_ven_X","Epaxial_bead_mid2_ven_Y","Epaxial_bead_mid2_ven_Z","Epaxial_bead_mid3_dor_X","Epaxial_bead_mid3_dor_Y","Epaxial_bead_mid3_dor_Z","Epaxial_bead_mid3_ven_X","Epaxial_bead_mid3_ven_Y","Epaxial_bead_mid3_ven_Z","HyoidL_bead_cau_X","HyoidL_bead_cau_Y","HyoidL_bead_cau_Z","HyoidL_bead_cra_X","HyoidL_bead_cra_Y","HyoidL_bead_cra_Z","Hypaxial_bead_cau_X","Hypaxial_bead_cau_Y","Hypaxial_bead_cau_Z","Hypaxial_bead_cra_X","Hypaxial_bead_cra_Y","Hypaxial_bead_cra_Z","Hypaxial_bead_mid1_X","Hypaxial_bead_mid1_Y","Hypaxial_bead_mid1_Z","Hypaxial_bead_mid2_X","Hypaxial_bead_mid2_Y","Hypaxial_bead_mid2_Z","LowerJawL_bead_cau_X","LowerJawL_bead_cau_Y","LowerJawL_bead_cau_Z","LowerJawL_bead_cra_X","LowerJawL_bead_cra_Y","LowerJawL_bead_cra_Z","LowerJawL_bead_mid_X","LowerJawL_bead_mid_Y","LowerJawL_bead_mid_Z","Neurocranium_bead_cau_e1_X","Neurocranium_bead_cau_e1_Y","Neurocranium_bead_cau_e1_Z","Neurocranium_bead_cau_e2_X","Neurocranium_bead_cau_e2_Y","Neurocranium_bead_cau_e2_Z","Neurocranium_bead_cau_X","Neurocranium_bead_cau_Y","Neurocranium_bead_cau_Z","Neurocranium_bead_cra_L_X","Neurocranium_bead_cra_L_Y","Neurocranium_bead_cra_L_Z","Neurocranium_bead_cra_R_X","Neurocranium_bead_cra_R_Y","Neurocranium_bead_cra_R_Z","Neurocranium_bead_mid_X","Neurocranium_bead_mid_Y","Neurocranium_bead_mid_Z","OperculumL_bead_cau_dor_X","OperculumL_bead_cau_dor_Y","OperculumL_bead_cau_dor_Z","OperculumL_bead_cra_dor_X","OperculumL_bead_cra_dor_Y","OperculumL_bead_cra_dor_Z","OperculumL_bead_ven_X","OperculumL_bead_ven_Y","OperculumL_bead_ven_Z","PostTemporalL_bead_cau_dor_X","PostTemporalL_bead_cau_dor_Y","PostTemporalL_bead_cau_dor_Z","PostTemporalL_bead_cra_dor_X","PostTemporalL_bead_cra_dor_Y","PostTemporalL_bead_cra_dor_Z","PostTemporalL_bead_ven_X","PostTemporalL_bead_ven_Y","PostTemporalL_bead_ven_Z","Prey_bead_X","Prey_bead_Y","Prey_bead_Z","Sternohyoid_bead_cau_X","Sternohyoid_bead_cau_Y","Sternohyoid_bead_cau_Z","Sternohyoid_bead_cra_X","Sternohyoid_bead_cra_Y","Sternohyoid_bead_cra_Z","SuspensoriumL_bead_dor_X","SuspensoriumL_bead_dor_Y","SuspensoriumL_bead_dor_Z","SuspensoriumL_bead_mid_X","SuspensoriumL_bead_mid_Y","SuspensoriumL_bead_mid_Z","SuspensoriumL_bead_ven_X","SuspensoriumL_bead_ven_Y","SuspensoriumL_bead_ven_Z","Urohyal_bead_X","Urohyal_bead_Y","Urohyal_bead_Z","frame","calibration","time","individual","trial"
-12.286304,111.01523,86.295215,18.185473,108.64588,77.399072,4.2737682,112.71763,85.223143,-14.697345,94.697101,116.37063,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.853514,101.23281,82.641161,45.164665,94.720224,79.444856,NA,NA,NA,-6.8436112,96.999168,71.156902,NA,NA,NA,NA,NA,NA,48.268372,106.75439,80.115629,67.372309,97.073244,83.2454,57.872873,103.03748,86.130303,-1.5760296,83.433837,120.56328,-9.6147428,88.434118,121.31523,0.72004211,87.524411,120.12622,49.067733,95.223156,107.27812,57.322711,66.787865,103.54672,34.817784,83.532343,113.61069,12.932751,111.6801,96.566319,18.00836,111.32146,98.804409,22.602564,114.48707,85.600266,3.8491149,108.66348,104.25158,5.6804097,108.78184,103.37773,0.47400612,109.58496,98.804615,154.80347,66.61492,28.816751,40.255744,90.378204,78.102192,49.529093,86.918201,83.059307,22.234272,110.30416,100.42449,29.99787,111.8744,89.148406,35.683039,112.77467,82.54457,49.059137,83.212377,81.899632,3,"Nov17 After 0945",0.0066666667,"Cat 01","Nov 17 2016 Cat 01 Trial 09"
-12.237784,111.09958,86.294435,18.25708,108.62128,77.402957,4.2796702,112.7431,85.143926,-14.697345,94.697101,116.37063,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.867451,101.32342,82.727927,45.089254,94.698979,79.438445,NA,NA,NA,-6.8075476,96.969285,71.153589,NA,NA,NA,NA,NA,NA,48.358654,106.74944,80.132677,67.26887,97.010449,83.240266,57.930977,103.12536,86.226277,-1.6129571,83.438894,120.64505,-9.6743565,88.381131,121.34356,0.72290473,87.52513,120.21641,49.162809,95.187169,107.37822,57.350165,66.675652,103.64513,34.828512,83.53167,113.61289,12.983251,111.7708,96.658253,18.03999,111.31881,98.809548,22.564851,114.51455,85.602265,3.9451104,108.71776,104.33938,5.4409612,108.85308,103.45634,0.49634968,109.651,98.714474,154.81456,66.708151,28.819611,40.327275,90.279759,78.202013,49.518033,87.01032,83.032436,22.196246,110.33152,100.4262,30.013519,111.96364,89.233722,35.683039,112.77467,82.54457,49.185725,83.27079,81.723911,4,"Nov17 After 0945",0.01,"Cat 01","Nov 17 2016 Cat 01 Trial 09"
-12.203525,111.0705,86.291283,18.300333,108.61767,77.408608,4.3756246,112.7982,85.230636,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.957497,101.38516,82.729565,45.147565,94.788331,79.53447,NA,NA,NA,-6.7482678,97.055248,71.241764,NA,NA,NA,NA,NA,NA,48.413067,106.81272,80.218167,67.415013,97.071158,83.344869,57.97233,103.09854,86.225716,-1.498586,83.400389,120.56974,-9.5823043,88.430877,121.3434,0.72290473,87.52513,120.21641,49.162809,95.187169,107.37822,57.440233,66.64497,103.56045,34.860952,83.530532,113.7118,13.020271,111.74308,96.656131,18.094764,111.38055,98.802616,22.726471,114.45261,85.613309,3.9873003,108.71267,104.43491,5.7172648,108.74906,103.44809,0.57432379,109.6173,98.806638,154.80599,66.650239,28.821184,40.327275,90.279759,78.202013,49.588777,86.890171,83.080239,22.291643,110.20751,100.53425,30.123574,111.90642,89.236644,35.764629,112.74286,82.640023,49.176136,83.180628,81.839207,5,"Nov17 After 0945",0.013333333,"Cat 01","Nov 17 2016 Cat 01 Trial 09"
-12.060529,111.11905,86.293981,18.379789,108.76276,77.576149,4.4896662,112.7375,85.231046,-14.546823,94.825296,116.45879,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.035298,101.2624,82.83247,45.259212,94.639056,79.543498,NA,NA,NA,-6.5930248,96.986667,71.243192,NA,NA,NA,NA,NA,NA,48.527468,106.68871,80.237325,67.542739,97.015534,83.443964,58.046364,102.9798,86.146827,-1.4611207,83.370892,120.56773,-9.4937723,88.47992,121.25417,0.83790549,87.462532,120.22089,49.207119,95.184896,107.3874,57.438656,66.647308,103.65424,34.902128,83.503318,113.71088,13.116811,111.80056,96.656594,18.216622,111.34596,98.814367,22.805009,114.4184,85.796485,4.0993069,108.65353,104.34899,5.8574501,108.77858,103.51307,0.67008626,109.67158,98.893802,154.72318,66.738484,28.811376,40.429234,90.340492,78.20597,49.681136,86.952326,83.138131,22.395389,110.23984,100.61744,30.176651,111.9009,89.336465,35.848246,112.71265,82.646284,49.108885,83.158393,81.835296,6,"Nov17 After 0945",0.016666667,"Cat 01","Nov 17 2016 Cat 01 Trial 09"
-11.966728,111.17236,86.377549,18.45276,108.73919,77.49163,4.5315611,112.7334,85.236729,-14.515229,94.795443,116.36813,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.171098,101.32758,82.845228,45.320124,94.728514,79.548845,NA,NA,NA,-6.5751727,97.076814,71.240526,NA,NA,NA,NA,NA,NA,48.541214,106.77929,80.323937,67.588921,97.013947,83.452446,58.104432,103.0677,86.24284,-1.4211253,83.366954,120.57621,-9.4150242,88.44674,121.3496,0.93220585,87.513115,120.2209,49.292892,95.155888,107.3961,57.466656,66.642674,103.51212,34.94332,83.476133,113.71001,13.099498,111.71022,96.750271,18.309122,111.37887,98.894604,22.885864,114.38746,85.802102,4.1006518,108.65245,104.43745,5.8733722,108.8006,103.61253,0.72879385,109.75536,98.895402,154.7188,66.73987,28.878409,40.51522,90.310097,78.212903,49.71687,86.950588,83.163468,22.475945,110.20906,100.6244,30.342557,111.84123,89.260275,35.973227,112.77117,82.704447,49.107263,83.15893,81.890476,7,"Nov17 After 0945",0.02,"Cat 01","Nov 17 2016 Cat 01 Trial 09"
-11.966728,111.17236,86.377549,18.506694,108.85086,77.589057,4.6095755,112.90698,85.234554,-14.473024,94.791233,116.46376,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.178958,101.32006,82.935083,45.406418,94.698611,79.55603,NA,NA,NA,-6.5157675,97.162537,71.241869,NA,NA,NA,NA,NA,NA,48.544022,106.78048,80.234142,67.588921,97.013947,83.452446,58.127336,102.94905,86.336555,-1.381122,83.363044,120.58475,-9.4512034,88.476435,121.35185,0.97229995,87.509205,120.22923,49.292892,95.155888,107.3961,57.440233,66.64497,103.56045,34.94332,83.476133,113.71001,13.141706,111.70506,96.846522,18.296477,111.31348,98.9083,22.927172,114.59348,85.715195,4.1766326,108.82335,104.43352,5.9687971,108.88059,103.62051,0.82876436,109.63067,98.911408,154.70625,66.6471,28.897904,40.442798,90.43198,78.293752,49.736442,86.832538,83.090672,22.518454,110.20563,100.63308,30.341207,111.83972,89.34977,35.976338,112.67947,82.660373,49.089672,83.159656,81.86857,8,"Nov17 After 0945",0.023333333,"Cat 01","Nov 17 2016 Cat 01 Trial 09"
-11.873862,111.22671,86.37483,18.548704,108.73003,77.592719,4.6874067,112.87201,85.41281,-14.473024,94.791233,116.46376,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.252187,101.22351,82.955887,45.358721,94.701028,79.638298,NA,NA,NA,-6.4563526,97.248293,71.243223,NA,NA,NA,NA,NA,NA,48.729384,106.81151,80.335678,67.631657,97.011901,83.551973,58.229644,103.01112,86.341329,-1.3061592,83.304053,120.5807,-9.3857431,88.443593,121.35605,0.91809416,87.454748,120.23763,49.333318,95.128876,107.48715,57.483303,66.645629,103.66346,34.98622,83.473421,113.71877,13.183421,111.70272,96.765138,18.393585,111.3703,98.99723,23.005723,114.55925,85.898436,4.1766326,108.82335,104.43352,5.9886074,108.87933,103.57092,0.84774126,109.71751,98.994388,154.72318,66.738484,28.811376,40.532454,90.426626,78.310505,49.734479,86.949784,83.185321,22.560999,110.20085,100.7314,30.40042,111.92583,89.443423,36.011465,112.64905,82.837244,49.141341,83.248667,81.872449,9,"Nov17 After 0945",0.026666667,"Cat 01","Nov 17 2016 Cat 01 Trial 09"
-11.850373,111.22357,86.426733,18.653827,108.88149,77.588239,4.7292896,112.86796,85.418501,-14.39069,94.847815,116.46317,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.308744,101.28719,82.951077,45.454667,94.662484,79.703762,NA,NA,NA,-6.4801852,97.343062,71.323364,NA,NA,NA,NA,NA,NA,48.726566,106.81032,80.425493,67.63143,96.987197,83.452264,58.215186,102.94411,86.445056,-1.3342768,83.326158,120.5822,-9.3397892,88.412852,121.35595,0.97229995,87.509205,120.22923,49.365534,95.126889,107.58552,57.557799,66.502121,103.57425,35.029127,83.470744,113.72758,13.322482,111.75368,96.950661,18.393585,111.3703,98.99723,23.005723,114.55925,85.898436,4.3555121,108.66662,104.54411,5.9143562,108.79668,103.61957,0.91431071,109.68596,98.996978,154.71734,66.740332,28.900755,40.614773,90.37121,78.30765,49.821932,86.920289,83.193144,22.616051,110.26277,100.72456,30.444015,111.92269,89.45176,36.073018,112.73739,82.84151,49.19173,83.136121,81.955477,10,"Nov17 After 0945",0.03,"Cat 01","Nov 17 2016 Cat 01 Trial 09"
-11.814331,111.30918,86.4616,18.733546,108.8489,77.67996,4.7834422,112.9285,85.411901,-14.308097,94.806368,116.46754,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.351205,101.28387,83.050014,45.548382,94.757982,79.7499,NA,NA,NA,-6.4386347,97.338652,71.327384,NA,NA,NA,NA,NA,NA,48.760433,106.80848,80.431924,67.751616,96.866124,83.472221,58.272113,103.00813,86.44092,-1.289589,83.388368,120.57427,-9.3007415,88.408662,121.36455,0.99303889,87.39609,120.23371,49.46346,95.097615,107.50502,57.499112,66.440867,103.57897,35.029127,83.470744,113.72758,13.396337,111.69961,96.857576,18.462753,111.34016,99.00047,23.085457,114.5267,85.992931,4.3730706,108.75405,104.53861,6.0813285,108.84686,103.49,0.96551134,109.68081,99.005442,154.72318,66.738484,28.811376,40.659613,90.368512,78.316043,49.90941,86.890797,83.20096,22.658585,110.25936,100.7333,30.48173,111.89412,89.517226,36.154635,112.70558,82.936995,49.271748,83.100363,81.959535,11,"Nov17 After 0945",0.033333333,"Cat 01","Nov 17 2016 Cat 01 Trial 09"
-11.764126,111.30356,86.467325,18.678288,108.7858,77.685493,4.8014332,113.01607,85.495574,-14.308097,94.806368,116.46754,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.391619,101.25637,83.048657,45.544528,94.733118,79.740303,NA,NA,NA,-6.324899,97.274631,71.324797,NA,NA,NA,NA,NA,NA,48.768901,106.80668,80.523896,67.762857,96.956799,83.56008,58.317481,103.00616,86.449805,-1.289589,83.388368,120.57427,-9.2838857,88.492313,121.35802,1.0498748,87.475996,120.23562,49.488419,94.981251,107.60146,57.513926,66.52875,103.57428,35.06002,83.450328,113.72689,13.414131,111.7872,96.941542,18.553161,111.30683,99.096186,23.166363,114.4958,85.998684,4.3744122,108.75295,104.62708,5.9934524,108.85212,103.7425,0.98327732,109.76873,99.000368,154.7188,66.73987,28.878409,40.720464,90.456998,78.321534,49.906758,86.891347,83.292745,22.713654,110.31989,100.81607,30.537129,111.95721,89.533822,36.210894,112.76965,82.931898,49.281361,83.099732,81.942891,12,"Nov17 After 0945",0.036666667,"Cat 01","Nov 17 2016 Cat 01 Trial 09"
